datetime,close,volume
2024-07-17 20:30:00,228.88,57345884.0
2024-07-18 20:30:00,224.18,66034585.0
2024-07-19 20:30:00,224.31,49151453.0
2024-07-22 20:30:00,223.96,48201835.0
2024-07-23 20:30:00,225.01,39960260.0
2024-07-24 20:30:00,218.54,61777576.0
2024-07-25 20:30:00,217.49,51391199.0
2024-07-26 20:30:00,217.96,41601345.0
2024-07-29 20:30:00,218.24,36311778.0
2024-07-30 20:30:00,218.8,41643840.0
2024-07-31 20:30:00,222.08,50036262.0
2024-08-01 20:30:00,218.36,62500996.0
2024-08-02 20:30:00,219.86,105568560.0
2024-08-05 20:30:00,209.27,119548589.0
2024-08-06 20:30:00,207.23,69660488.0
2024-08-07 20:30:00,209.82,63516417.0
2024-08-08 20:30:00,213.31,47161149.0
2024-08-09 20:30:00,216.24,42201646.0
2024-08-12 20:30:00,217.53,38028092.0
2024-08-13 20:30:00,221.27,44155331.0
2024-08-14 20:30:00,221.72,41960574.0
2024-08-15 20:30:00,224.72,46414013.0
2024-08-16 20:30:00,226.05,44340240.0
2024-08-19 20:30:00,225.89,40687813.0
2024-08-20 20:30:00,226.51,30299033.0
2024-08-21 20:30:00,226.4,34765480.0
2024-08-22 20:30:00,224.53,43695321.0
2024-08-23 20:30:00,226.84,38677250.0
2024-08-26 20:30:00,227.18,30602208.0
2024-08-27 20:30:00,228.03,35934559.0
2024-08-28 20:30:00,226.49,38052167.0
2024-08-29 20:30:00,229.79,51906297.0
2024-08-30 20:30:00,229.0,52990770.0
2024-09-03 20:30:00,222.77,50190574.0
2024-09-04 20:30:00,220.85,43840196.0
2024-09-05 20:30:00,222.38,36615398.0
2024-09-06 20:30:00,220.82,48423011.0
2024-09-09 20:30:00,220.91,67179965.0
2024-09-10 20:30:00,220.11,51591033.0
2024-09-11 20:30:00,222.66,44587072.0
2024-09-12 20:30:00,222.77,37498225.0
2024-09-13 20:30:00,222.5,36766619.0
2024-09-16 20:30:00,216.32,59357427.0
2024-09-17 20:30:00,216.79,45519339.0
2024-09-18 20:30:00,220.69,59894928.0
2024-09-19 20:30:00,228.87,66781315.0
2024-09-20 20:30:00,228.2,318679888.0
2024-09-23 20:30:00,226.47,54146023.0
2024-09-24 20:30:00,227.37,43556068.0
2024-09-25 20:30:00,226.37,42308715.0
2024-09-26 20:30:00,227.52,36636707.0
2024-09-27 20:30:00,227.79,34025967.0
2024-09-30 20:30:00,233.0,54793391.0
2024-10-01 20:30:00,226.21,63285048.0
2024-10-02 20:30:00,226.78,32880605.0
2024-10-03 20:30:00,225.67,34044158.0
2024-10-04 20:30:00,226.8,37345098.0
2024-10-07 20:30:00,221.69,39505354.0
2024-10-08 20:30:00,225.77,31855693.0
2024-10-09 20:30:00,229.54,33591091.0
2024-10-10 20:30:00,229.04,28183544.0
2024-10-11 20:30:00,227.55,31759188.0
2024-10-14 20:30:00,231.3,39882085.0
2024-10-15 20:30:00,233.85,64751367.0
2024-10-16 20:30:00,231.78,34082240.0
2024-10-17 20:30:00,232.15,32993810.0
2024-10-18 20:30:00,235.0,46431472.0
2024-10-21 20:30:00,236.48,36254470.0
2024-10-22 20:30:00,235.86,38846578.0
2024-10-23 20:30:00,230.76,52286979.0
2024-10-24 20:30:00,230.57,31109503.0
2024-10-25 20:30:00,231.41,38802304.0
2024-10-28 20:30:00,233.4,36087134.0
2024-10-29 20:30:00,233.67,35417247.0
2024-10-30 20:30:00,230.1,47070907.0
2024-10-31 20:30:00,225.91,64370086.0
2024-11-01 20:30:00,222.91,65276741.0
2024-11-04 21:30:00,222.01,44944468.0
2024-11-05 21:30:00,223.45,28111338.0
2024-11-06 21:30:00,222.72,54561121.0
2024-11-07 21:30:00,227.48,42137691.0
2024-11-08 21:30:00,226.96,38328824.0
2024-11-11 21:30:00,224.23,42005602.0
2024-11-12 21:30:00,224.23,40398299.0
2024-11-13 21:30:00,225.12,48566217.0
2024-11-14 21:30:00,228.22,44923941.0
2024-11-15 21:30:00,225.0,47923696.0
2024-11-18 21:30:00,228.02,44686020.0
2024-11-19 21:30:00,228.28,36211774.0
2024-11-20 21:30:00,229.0,35169566.0
2024-11-21 21:30:00,228.52,42108327.0
2024-11-22 21:30:00,229.87,38168252.0
2024-11-25 21:30:00,232.87,90152832.0
